task,model,duplicates,checkpoint,metric,mean,sem
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,0,norm_ll_word,-16.658315774838663,0.24646045200577335
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,0,norm_ll_byte,-2.9053258648787414,0.034881244968880495
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,2000,norm_ll_word,-4.656012267432011,0.08273188492865836
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,2000,norm_ll_byte,-0.8119814818970719,0.012813721274833708
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,4000,norm_ll_word,-0.776561266014002,0.037895723958730865
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,4000,norm_ll_byte,-0.13596132305994343,0.006713496155287664
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,6000,norm_ll_word,-0.3913786507249896,0.035902788408665995
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,6000,norm_ll_byte,-0.0683301890479415,0.0061781920582832635
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,8000,norm_ll_word,-0.24542593771517635,0.010610666323018056
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,8000,norm_ll_byte,-0.04287367870729249,0.0018548672510830502
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,10000,norm_ll_word,-0.215959537608942,0.010039295392433192
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,10000,norm_ll_byte,-0.03762333960743035,0.0016988600278091991
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,12000,norm_ll_word,-0.21086176962108735,0.02127311034561217
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,12000,norm_ll_byte,-0.03693209739370286,0.0037984968603624082
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,14000,norm_ll_word,-4.052225144273335,0.0827085448284637
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,14000,norm_ll_byte,-0.7069779518269607,0.013122087335947679
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,16000,norm_ll_word,-4.36750481738953,0.08824014424094288
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,16000,norm_ll_byte,-0.761908257728346,0.01393238074319074
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,18000,norm_ll_word,-4.452432246779259,0.0902291782654386
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,18000,norm_ll_byte,-0.7766815010085615,0.014245861191810462
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,20000,norm_ll_word,-4.484831734812116,0.09218329795856404
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,20000,norm_ll_byte,-0.7822282105835797,0.014463741810292446
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,22000,norm_ll_word,-4.5090832901112075,0.09229401885729739
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,22000,norm_ll_byte,-0.7865162014832514,0.014532182833528095
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,24000,norm_ll_word,-4.502760739490081,0.09435472525388074
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,24000,norm_ll_byte,-0.7852253488743788,0.014760854432879845
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,26000,norm_ll_word,-4.512728112840852,0.09532689933518351
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,26000,norm_ll_byte,-0.7869108335715425,0.014910906876935522
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,28000,norm_ll_word,-4.499694315862144,0.09481908588486442
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,28000,norm_ll_byte,-0.7847229133827776,0.014883731350777658
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,30000,norm_ll_word,-4.498190014378421,0.09409413646103008
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,30000,norm_ll_byte,-0.7843926036318811,0.01471469854627564
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,32000,norm_ll_word,-4.499642083303613,0.09588384985060872
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,32000,norm_ll_byte,-0.7846582721194926,0.015057779269640038
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,34000,norm_ll_word,-4.483081686209518,0.09568559095073981
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,34000,norm_ll_byte,-0.7817099419008532,0.0149558080651059
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,36000,norm_ll_word,-4.482279002659022,0.09523597235330805
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,36000,norm_ll_byte,-0.781568759340218,0.01489596438443081
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,38000,norm_ll_word,-4.47365915693672,0.09509719202768242
